;Station_id;date_from;date_to;altitude;latitude;longitude;name;state
3;18510101;2010-12-31;202;50.7827;6.0941;Aachen;Nordrhein-Westfalen;Frei
44;19720101;2024-12-31;44;52.9336;8.237;GroÃŸenkneten;Niedersachsen;Frei
52;19730101;2001-12-31;46;53.6623;10.199;Ahrensburg-Wulfsdorf;Schleswig-Holstein;Frei
61;19760101;1977-12-31;339;48.8443;12.6171;Aiterhofen;Bayern;Frei
70;19740101;1985-12-31;712;48.2052;9.0371;Albstadt-Ebingen;Baden-WÃ¼rttemberg;Frei
71;19870101;2019-12-31;759;48.2156;8.9784;Albstadt-Badkap;Baden-WÃ¼rttemberg;Frei
72;19790101;1994-12-31;794;48.2766;9.0001;Albstadt-Onstmettingen;Baden-WÃ¼rttemberg;Frei
73;19530101;2024-12-31;374;48.6183;13.062;Aldersbach-Kramersepp;Bayern;Frei
78;19610101;2024-12-31;64;52.4853;7.9125;Alfhausen;Niedersachsen;Frei
91;19790101;2024-12-31;304;50.7446;9.345;Alsfeld-Eifa;Hessen;Frei
93;19780101;1977-12-31;269;50.7691;9.2542;Alsfeld-Reibertenrod;Hessen;Frei
96;20200101;2024-12-31;50;52.9437;12.8518;Neuruppin-Alt Ruppin;Brandenburg;Frei
98;18870101;1954-12-31;780;51.189;8.4671;Altastenberg;Nordrhein-Westfalen;Frei
102;19980101;2024-12-31;0;53.8633;8.1275;Leuchtturm Alte Weser;Niedersachsen;Frei
106;19730101;1995-12-31;500;51.7976;10.4429;Altenau;Niedersachsen;
116;19000101;1972-12-31;213;50.9833;12.4333;Altenburg;ThÃ¼ringen;Frei
125;20190101;2024-12-31;739;47.8342;10.8667;Altenstadt;Bayern;Frei
129;19910101;2006-12-31;30;53.6893;13.242;Altentreptow;Mecklenburg-Vorpommern;Frei
131;20050101;2024-12-31;296;51.0881;12.9326;Geringswalde-Altgeringswalde;Sachsen;Frei
132;19540101;1986-12-31;750;49.7725;12.3891;AltglashÃ¼tte;Bayern;Frei
142;19550101;2024-12-31;511;48.406;11.3117;AltomÃ¼nster-Maisbrunn;Bayern;Frei
150;19010101;2024-12-31;215;49.7273;8.1164;Alzey;Rheinland-Pfalz;Frei
151;19470101;2024-12-31;382;49.4691;11.8546;Amberg-Unterammersricht;Bayern;Frei
154;19940101;2024-12-31;516;48.0197;12.2925;Amerang-Pfaffing;Bayern;Frei
161;20120101;2024-12-31;75;50.4237;7.4202;Andernach;Rheinland-Pfalz;Frei
164;19090101;2024-12-31;54;53.0316;13.9908;AngermÃ¼nde;Brandenburg;Frei
167;19400101;2024-12-31;11;53.8409;13.6854;Anklam;Mecklenburg-Vorpommern;Frei
169;18810101;1966-12-31;630;50.573;13.0053;Annaberg-Buchholz;Sachsen;Frei
172;19700101;1990-12-31;395;52.2486;9.5056;Annaturm;Niedersachsen;Frei
174;19850101;1987-12-31;250;49.1886;7.9766;Annweiler-Bindersbach;Rheinland-Pfalz;Frei
175;18810101;1975-12-31;413;49.2964;10.5751;Ansbach;Bayern;Frei
176;19770101;1994-12-31;481;49.2475;10.5826;Ansbach-Claffheim;Bayern;
177;19400101;1956-12-31;418;49.3158;10.5815;Ansbach-Hennenbach;Bayern;Frei
183;19360101;2024-12-31;42;54.6791;13.4344;Arkona;Mecklenburg-Vorpommern;Frei
184;19470101;1965-12-31;55;52.6769;12.0077;Arneburg;Sachsen-Anhalt;Frei
185;18810101;1957-12-31;3;54.6289;9.9294;Arnis;Schleswig-Holstein;Frei
186;18670101;1997-12-31;218;51.3773;8.0713;Arnsberg;Nordrhein-Westfalen;Frei
191;18840101;2024-12-31;217;49.9694;9.9114;Arnstein-MÃ¼desheim;Bayern;Frei
193;19390101;1996-12-31;232;51.3845;9.082;Arolsen-Neu Berich;Hessen;Frei
198;19540101;2024-12-31;164;51.3744;11.292;Artern;ThÃ¼ringen;Frei
202;18810101;1951-12-31;111;49.9771;9.1091;Aschaffenburg;Bayern;Frei
207;19470101;1964-12-31;105;51.7498;11.4667;Aschersleben;Sachsen-Anhalt;Frei
211;19820101;1999-12-31;200;50.58;8.4685;AÃŸlar Klein-AltenstÃ¤dten;Hessen;Frei
217;19380101;2024-12-31;670;47.8774;11.3643;Attenkam;Bayern;Frei
221;19860101;1989-12-31;483;48.5515;11.7117;Au i.d.Hallertau-GÃ¼nzenhausen;Bayern;Frei
222;18810101;2024-12-31;393;50.5908;12.7139;Aue;Sachsen;Frei
231;18790101;1973-12-31;490;48.3723;10.8948;Augsburg (Sankt Stephan);Bayern;Frei
232;19470101;2024-12-31;462;48.4253;10.9417;Augsburg;Bayern;Frei
243;18880101;2006-12-31;4;53.4621;7.467;Aurich;Niedersachsen;Frei
257;18810101;2024-12-31;240;48.727;8.2457;Baden-Baden-Geroldsau;Baden-WÃ¼rttemberg;Frei
259;18810101;2024-12-31;275;47.8064;7.6387;MÃ¼llheim;Baden-WÃ¼rttemberg;Frei
268;19540101;1996-12-31;622;48.5293;8.2727;Baiersbronn-Obertal;Baden-WÃ¼rttemberg;Frei
273;19870101;1989-12-31;467;47.8413;9.6606;Baindt;Baden-WÃ¼rttemberg;Frei
282;18810101;2024-12-31;240;49.8743;10.9206;Bamberg;Bayern;Frei
283;18810101;1959-12-31;382;49.8808;10.8695;Bamberg-Altenburg;Bayern;Frei
284;18790101;1958-12-31;282;49.88;10.88;Bamberg (Sternwarte);Bayern;Frei
288;19910101;1997-12-31;3;53.8409;13.7549;Bargischow-Gnevezin;Mecklenburg-Vorpommern;Frei
294;19930101;2024-12-31;110;52.3199;9.43;Barsinghausen-Hohenbostel;Niedersachsen;Frei
298;19380101;2024-12-31;3;54.3405;12.7108;Barth;Mecklenburg-Vorpommern;Frei
303;19980101;2024-12-31;55;52.0613;13.4997;Baruth;Brandenburg;Frei
314;18810101;2024-12-31;234;51.1604;14.5042;KubschÃ¼tz, Kr. Bautzen;Sachsen;Frei
320;18510101;2024-12-31;350;49.9666;11.5198;Heinersreuth-Vollhof;Bayern;Frei
321;19790101;1994-12-31;789;47.6797;12.0017;Bayrischzell;Bayern;Frei
326;20050101;2012-12-31;120;51.7204;8.0577;Beckum-Unterberg;Nordrhein-Westfalen;Frei
327;19630101;1995-12-31;27;53.6234;8.8323;Bederkesa;Niedersachsen;Frei
330;19310101;2024-12-31;455;49.5617;8.9673;Oberzent-Beerfelden;Hessen;Frei
335;19770101;1976-12-31;4;54.3426;10.6018;Behrensdorf;Schleswig-Holstein;Frei
342;20110101;2024-12-31;103;52.317;8.1694;Belm;Niedersachsen;Frei
348;19900101;2010-12-31;127;50.4135;7.5886;Bendorf;Rheinland-Pfalz;Frei
351;19500101;1987-12-31;502;51.6926;10.6978;Oberharz am Brocken-Sorge;Sachsen-Anhalt;Frei
355;19310101;1988-12-31;140;49.6789;8.6276;Bensheim;Hessen;Frei
361;19050101;1998-12-31;550;47.6344;13.0109;Berchtesgaden (KKst);Bayern;Frei
365;19920101;2001-12-31;421;49.3311;11.4303;Berg/Oberpfalz;Bayern;Frei
368;20020101;2024-12-31;69;52.8152;9.9248;Bergen;Niedersachsen;Frei
377;19270101;2024-12-31;210;49.107;7.9967;Bergzabern, Bad;Rheinland-Pfalz;Frei
379;19550101;2024-12-31;304;50.9075;11.2665;Berka, Bad (Flugplatz);ThÃ¼ringen;Frei
386;19740101;1985-12-31;445;51.0454;8.3851;Berleburg, Bad;Nordrhein-Westfalen;Frei
390;19870101;2024-12-31;611;50.9837;8.3683;Berleburg, Bad-StÃ¼nzel;Nordrhein-Westfalen;Frei
395;19490101;1953-12-31;38;52.4167;13.4833;Berlin-Adlershof;Berlin;Frei
399;19750101;2014-12-31;36;52.5198;13.4057;Berlin-Alexanderplatz;Berlin;Frei
400;18890101;2024-12-31;60;52.631;13.5021;Berlin-Buch;Berlin;Frei
402;18300101;1962-12-31;55;52.4564;13.2997;Berlin-Dahlem (LFAG);Berlin;Frei
403;17190101;2024-12-31;51;52.4537;13.3017;Berlin-Dahlem (FU);Berlin;Frei
405;19520101;1954-12-31;37;52.45;13.65;Berlin-Friedrichshagen;Berlin;Frei
407;19580101;1977-12-31;48;52.6461;13.2858;Berlin-Frohnau;Berlin;Frei
408;18830101;1950-12-31;35;52.5333;13.3833;Berlin-InvalidenstraÃŸe;Berlin;Frei
410;19970101;2019-12-31;33;52.404;13.7309;Berlin-Kaniswall;Berlin;Frei
